Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 24.14      0.07     0.07 15147868     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&)
 18.97      0.13     0.06 15199979     0.00     0.00  std::_Bit_iterator_base::operator==(std::_Bit_iterator_base const&) const
 10.35      0.16     0.03  7430415     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  6.90      0.18     0.02      164     0.12     0.28  std::__fill_bvector(std::_Bit_iterator, std::_Bit_iterator, bool)
  3.45      0.19     0.01  8912936     0.00     0.00  std::fill(std::_Bit_iterator, std::_Bit_iterator, bool const&)
  3.45      0.20     0.01  6995068     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  3.45      0.21     0.01  6464766     0.00     0.00  std::_Bit_const_iterator::operator++()
  3.45      0.22     0.01  6464612     0.00     0.00  std::_Bit_const_iterator::operator*() const
  3.45      0.23     0.01  5400161     0.00     0.00  std::vector<State*, std::allocator<State*> >::insert(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, unsigned long, State* const&)
  3.45      0.24     0.01  3359005     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::_M_fill_insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, unsigned long, xyLoc const&)
  3.45      0.25     0.01  1540795     0.00     0.00  std::vector<State*, std::allocator<State*> >::begin()
  3.45      0.26     0.01   349119     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::begin()
  3.45      0.27     0.01     1413     0.01     0.01  _fini
  3.45      0.28     0.01      470     0.02     0.29  GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&)
  3.45      0.29     0.01                             return_path(State*, std::vector<xyLoc, std::allocator<xyLoc> >&)
  1.72      0.29     0.01                             std::_Bit_iterator_base::_M_incr(long)
  0.00      0.29     0.00  6642336     0.00     0.00  std::_Bit_iterator_base::_M_bump_down()
  0.00      0.29     0.00  4279058     0.00     0.00  std::_Bit_iterator::operator+(long) const
