Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 12.50      0.06     0.06 15197462     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  9.09      0.10     0.04 13559068     0.00     0.00  std::vector<State*, std::allocator<State*> >::operator[](unsigned long)
  6.82      0.13     0.03 15197462     0.00     0.01  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  6.82      0.16     0.03  6462413     0.00     0.02  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  6.82      0.19     0.03  4278895     0.01     0.01  std::vector<bool, std::allocator<bool> >::end() const
  6.82      0.22     0.03   204415     0.15     0.50  GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::heapifyUp(unsigned int)
  4.55      0.24     0.02  6645976     0.00     0.00  std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::size() const
  4.55      0.26     0.02  4113442     0.00     0.00  std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::operator[](unsigned long)
  4.55      0.28     0.02  3336983     0.01     0.01  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num_key(unsigned long const&, unsigned long) const
  4.55      0.30     0.02    72168     0.28     0.76  GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::heapifyDown(unsigned int)
  3.41      0.31     0.02  6639819     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.41      0.33     0.02  2149610     0.01     0.01  std::_Bit_reference::operator bool() const
  2.27      0.34     0.01  6462577     0.00     0.00  std::_Bit_iterator::operator*() const
  2.27      0.35     0.01  6462423     0.00     0.01  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  2.27      0.36     0.01  4490209     0.00     0.00  std::_Bit_reference::operator=(bool)
  2.27      0.37     0.01  4278898     0.00     0.01  std::vector<bool, std::allocator<bool> >::begin() const
  2.27      0.38     0.01  3336401     0.00     0.01  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num_key(unsigned long const&) const
  2.27      0.39     0.01  3059818     0.00     0.01  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::resize(unsigned long)
  2.27      0.40     0.01  3059818     0.00     0.02  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num(std::pair<unsigned long const, unsigned int> const&) const
  2.27      0.41     0.01   579769     0.02     0.02  void __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::construct<xyLoc>(std::allocator<xyLoc>&, xyLoc*, xyLoc const&)
  2.27      0.42     0.01   398503     0.03     0.03  State::pos()
  2.27      0.43     0.01   204415     0.05     0.05  __gnu_cxx::new_allocator<State*>::construct(State**, State* const&)
  2.27      0.44     0.01      470    21.28   917.85  GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&)
  1.14      0.44     0.01                             std::_Bit_reference::operator=(std::_Bit_reference const&)
  0.00      0.44     0.00  8557797     0.00     0.01  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      0.44     0.00  6014769     0.00     0.00  std::_Select1st<std::pair<unsigned long const, unsigned int> >::operator()(std::pair<unsigned long const, unsigned int> const&) const
  0.00      0.44     0.00  4278902     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.00      0.44     0.00  4278894     0.00     0.02  std::vector<bool, std::allocator<bool> >::size() const
  0.00      0.44     0.00  3799074     0.00     0.00  State::d()
  0.00      0.44     0.00  3336983     0.00     0.00  __gnu_cxx::hash<unsigned long>::operator()(unsigned long) const
  0.00      0.44     0.00  3336401     0.00     0.00  SearchNodeHash::operator()(State const*) const
  0.00      0.44     0.00  3078611     0.00     0.00  std::_Select1st<std::pair<unsigned long const, unsigned int> >::operator()(std::pair<unsigned long const, unsigned int>&) const
  0.00      0.44     0.00  3077583     0.00     0.00  std::equal_to<unsigned long>::operator()(unsigned long const&, unsigned long const&) const
  0.00      0.44     0.00  3059818     0.00     0.03  __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::operator[](unsigned long const&)
  0.00      0.44     0.00  3059818     0.00     0.03  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find_or_insert(std::pair<unsigned long const, unsigned int> const&)
  0.00      0.44     0.00  3059818     0.00     0.00  std::pair<unsigned long const, unsigned int>::pair(unsigned long const&, unsigned int const&)
  0.00      0.44     0.00  2586506     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::operator[](unsigned long)
  0.00      0.44     0.00  1972368     0.00     0.00  GetIndex(xyLoc)
  0.00      0.44     0.00  1899537     0.00     0.00  PathfindingNodeCmp::operator()(State*, State*) const
  0.00      0.44     0.00  1059409     0.00     0.00  std::vector<State*, std::allocator<State*> >::size() const
  0.00      0.44     0.00   991501     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.44     0.00   913648     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::size() const
  0.00      0.44     0.00   867431     0.00     0.00  PathfindingNodeEqual::operator()(State const*, State const*)
  0.00      0.44     0.00   579769     0.00     0.00  __gnu_cxx::new_allocator<xyLoc>::construct(xyLoc*, xyLoc const&)
  0.00      0.44     0.00   529802     0.00     0.02  std::vector<xyLoc, std::allocator<xyLoc> >::push_back(xyLoc const&)
  0.00      0.44     0.00   480305     0.00     0.00  distance(xyLoc, xyLoc)
  0.00      0.44     0.00   480305     0.00     0.00  State::set_parent(State*)
  0.00      0.44     0.00   480305     0.00     0.00  State::set_values(float, xyLoc)
  0.00      0.44     0.00   480305     0.00     0.00  float const& std::max<float>(float const&, float const&)
  0.00      0.44     0.00   408831     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long const, unsigned int> >::new_allocator()
  0.00      0.44     0.00   408831     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long const, unsigned int> >::~new_allocator()
  0.00      0.44     0.00   408831     0.00     0.00  std::allocator<std::pair<unsigned long const, unsigned int> >::~allocator()
  0.00      0.44     0.00   408830     0.00     0.00  __gnu_cxx::_Hashtable_iterator<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_Hashtable_iterator(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >*)
  0.00      0.44     0.00   408830     0.00     0.00  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::get_allocator() const
  0.00      0.44     0.00   408830     0.00     0.00  std::allocator<std::pair<unsigned long const, unsigned int> >::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> > >(std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> > > const&)
  0.00      0.44     0.00   285346     0.00     0.00  std::_Iter_base<xyLoc*, false>::_S_base(xyLoc*)
  0.00      0.44     0.00   263921     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::base() const
  0.00      0.44     0.00   209012     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::__normal_iterator(xyLoc* const&)
  0.00      0.44     0.00   204415     0.00     0.62  GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::add(State*)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> > >::deallocate(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, unsigned long)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> > >::allocate(unsigned long, void const*)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long const, unsigned int> >::destroy(std::pair<unsigned long const, unsigned int>*)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long const, unsigned int> >::construct(std::pair<unsigned long const, unsigned int>*, std::pair<unsigned long const, unsigned int> const&)
  0.00      0.44     0.00   204415     0.00     0.05  void __gnu_cxx::__alloc_traits<std::allocator<State*> >::construct<State*>(std::allocator<State*>&, State**, State* const&)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::end()
  0.00      0.44     0.00   204415     0.00     0.02  __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find(unsigned long const&)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_get_node()
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_new_node(std::pair<unsigned long const, unsigned int> const&)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_put_node(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_delete_node(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::end()
  0.00      0.44     0.00   204415     0.00     0.02  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find(unsigned long const&)
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> > >::max_size() const
  0.00      0.44     0.00   204415     0.00     0.00  __gnu_cxx::_Hashtable_iterator<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::operator==(__gnu_cxx::_Hashtable_iterator<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> > const&) const
  0.00      0.44     0.00   204415     0.00     0.05  std::vector<State*, std::allocator<State*> >::push_back(State* const&)
  0.00      0.44     0.00   177242     0.00     0.01  std::_Bit_const_iterator::operator*() const
  0.00      0.44     0.00   177236     0.00     0.01  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      0.44     0.00   177230     0.00     0.01  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  0.00      0.44     0.00   171784     0.00     0.00  std::_Niter_base<xyLoc*>::iterator_type std::__niter_base<xyLoc*>(xyLoc*)
  0.00      0.44     0.00   144338     0.00     0.00  GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::empty()
  0.00      0.44     0.00   113562     0.00     0.00  std::_Miter_base<xyLoc*>::iterator_type std::__miter_base<xyLoc*>(xyLoc*)
  0.00      0.44     0.00   103579     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::begin()
  0.00      0.44     0.00    86455     0.00     0.00  std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_get_Tp_allocator()
  0.00      0.44     0.00    77724     0.00     0.00  void std::_Destroy_aux<true>::__destroy<xyLoc*>(xyLoc*, xyLoc*)
  0.00      0.44     0.00    77724     0.00     0.00  void std::_Destroy<xyLoc*>(xyLoc*, xyLoc*)
  0.00      0.44     0.00    77724     0.00     0.00  void std::_Destroy<xyLoc*, xyLoc>(xyLoc*, xyLoc*, std::allocator<xyLoc>&)
  0.00      0.44     0.00    72170     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::resize(unsigned long, xyLoc)
  0.00      0.44     0.00    72170     0.00     0.00  std::vector<State*, std::allocator<State*> >::resize(unsigned long, State*)
  0.00      0.44     0.00    72168     0.00     0.03  FindGoal(State*)
  0.00      0.44     0.00    72168     0.00     0.83  GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::remove()
  0.00      0.44     0.00    72168     0.00     0.00  __gnu_cxx::new_allocator<State*>::destroy(State**)
  0.00      0.44     0.00    72168     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<State*> >::destroy(std::allocator<State*>&, State**)
  0.00      0.44     0.00    72168     0.00     0.02  __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::erase(unsigned long const&)
  0.00      0.44     0.00    72168     0.00     0.02  __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::erase(unsigned long const&)
  0.00      0.44     0.00    72168     0.00     0.00  std::vector<State*, std::allocator<State*> >::pop_back()
  0.00      0.44     0.00    72166     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::_M_erase_at_end(xyLoc*)
  0.00      0.44     0.00    71700     0.00     0.52  GetSuccessors(xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&)
  0.00      0.44     0.00    56537     0.00     0.00  std::vector<stats, std::allocator<stats> >::operator[](unsigned long)
  0.00      0.44     0.00    54530     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::end()
  0.00      0.44     0.00    53612     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::difference_type __gnu_cxx::operator-<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&)
  0.00      0.44     0.00    53136     0.00     0.02  std::vector<xyLoc, std::allocator<xyLoc> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&)
  0.00      0.44     0.00    50427     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::operator*() const
  0.00      0.44     0.00    49967     0.00     0.00  State::parent()
  0.00      0.44     0.00    49967     0.00     0.02  std::vector<xyLoc, std::allocator<xyLoc> >::insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&)
