Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 42.86      0.09     0.09 23167360     0.00     0.00  GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&)
 16.67      0.13     0.04  5648995     0.00     0.00  GetSuccessors(xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&)
  9.53      0.15     0.02  4278898     0.00     0.00  std::vector<State*, std::allocator<State*> >::back()
  4.76      0.16     0.01  4581433     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&)
  4.76      0.17     0.01  4453146     0.00     0.00  std::vector<State*, std::allocator<State*> >::resize(unsigned long, State*)
  4.76      0.18     0.01  4278895     0.00     0.00  std::vector<State*, std::allocator<State*> >::pop_back()
  4.76      0.19     0.01  1363724     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool)
  4.76      0.20     0.01                             State::pos()
  4.76      0.21     0.01                             bool __gnu_cxx::operator==<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&)
  2.38      0.21     0.01  5165233     0.00     0.00  return_path(State*, std::vector<xyLoc, std::allocator<xyLoc> >&)
  0.00      0.21     0.00  5066859     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      0.21     0.00  4278894     0.00     0.00  State::f()
  0.00      0.21     0.00  3765085     0.00     0.00  bool __gnu_cxx::operator==<State* const*, std::vector<State*, std::allocator<State*> > >(__gnu_cxx::__normal_iterator<State* const*, std::vector<State*, std::allocator<State*> > > const&, __gnu_cxx::__normal_iterator<State* const*, std::vector<State*, std::allocator<State*> > > const&)
  0.00      0.21     0.00  2610269     0.00     0.00  std::_Bit_reference::operator=(std::_Bit_reference const&)
  0.00      0.21     0.00  1692561     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::push_back(xyLoc const&)
  0.00      0.21     0.00  1193571     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.21     0.00   866155     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::_M_fill_insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, unsigned long, xyLoc const&)
  0.00      0.21     0.00   648876     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.21     0.00   544274     0.00     0.00  void std::_Destroy<State**, State*>(State**, State**, std::allocator<State*>&)
  0.00      0.21     0.00   477731     0.00     0.00  distance(xyLoc, xyLoc)
  0.00      0.21     0.00   390310     0.00     0.00  std::_Vector_base<State*, std::allocator<State*> >::~_Vector_base()
  0.00      0.21     0.00   387859     0.00     0.00  std::vector<State*, std::allocator<State*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, State* const&)
  0.00      0.21     0.00   382911     0.00     0.00  std::vector<State*, std::allocator<State*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, unsigned long, State* const&)
  0.00      0.21     0.00   354261     0.00     0.00  State** std::__uninitialized_fill_n_a<State**, unsigned long, State*, State*>(State**, unsigned long, State* const&, std::allocator<State*>&)
  0.00      0.21     0.00   287962     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00      0.21     0.00   272600     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.21     0.00   260759     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00      0.21     0.00   207735     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.21     0.00   207726     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator=(std::vector<bool, std::allocator<bool> > const&)
  0.00      0.21     0.00   207252     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::difference_type __gnu_cxx::operator-<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&)
  0.00      0.21     0.00   170854     0.00     0.00  State** std::__uninitialized_copy_a<State**, State**, State*>(State**, State**, State**, std::allocator<State*>&)
